title,text
"Scientists discover miracle pill","A viral post claims a secret pill can make people live forever without any medical testing or evidence."
"Celebrity announces impossible cure","An online article claims a famous actor discovered a universal cure that doctors have supposedly hidden from the public."
"Government gives every citizen unlimited money","A fabricated story says every citizen will receive unlimited money starting tomorrow without any official announcement."
"Moon turns green tonight","A fictional report claims the moon will permanently turn green tonight because of a mysterious cosmic event."
"Drinking one glass reverses all diseases","A misleading article says one glass of an unnamed drink instantly reverses every known disease."
"Secret device reads every thought","A fabricated report claims a consumer device can read anyone's thoughts perfectly from across a room."
"Schools closed forever","A fake report claims all schools have been permanently closed nationwide without an official government notice."
"Engine runs without fuel","A viral article claims a car engine can run forever with no fuel or energy input."
"Hidden city found under ocean","A fabricated report claims researchers discovered a giant modern city under the ocean and kept it secret."
"Instant language learning chip","A false story claims a new chip can make anyone fluent in every language within five minutes."
"Miracle crop grows overnight","A fictional article says a new seed can grow a mature crop overnight with no water or sunlight."
"Phone battery lasts 100 years","A viral claim says a new phone battery lasts 100 years and never needs charging."
